station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
Gare d'autocars de Montréal (Berri / Ontario),-73.56425732374191,45.516926210319546,Ville-Marie,1401,1791,3192
Garnier / Beaubien,-73.59839379787445,45.54144823434163,Rosemont - La Petite-Patrie,1799,1477,3276
Garnier / Gilford,-73.58016096510255,45.53250674403981,Le Plateau-Mont-Royal,84,75,159
Garnier / St-Grégoire,-73.58710169792175,45.5358215436799,Le Plateau-Mont-Royal,104,90,194
Garnier / du Mont-Royal,-73.5761762317452,45.53075597398246,Le Plateau-Mont-Royal,4394,4013,8407
Gary-Carter / St-Laurent,-73.62258464097977,45.53613488953656,Villeray—Saint-Michel—Parc-Extension,1043,920,1963
Gauthier / Parthenais,-73.56377989053726,45.53292625574653,Le Plateau-Mont-Royal,47,55,102
Georges-Vanier /  Notre-Dame,-73.57192163679429,45.48504525051504,Le Sud-Ouest,287,313,600
Gilford / Papineau,-73.57823699712753,45.5343936461316,Le Plateau-Mont-Royal,215,211,426
Gilford / St-Denis,-73.58558893203735,45.52497612960628,Le Plateau-Mont-Royal,245,201,446
Gilford / de la Roche,-73.58207069792115,45.53020692408532,Le Plateau-Mont-Royal,84,76,160
Gilford / des Érables,-73.57534691691399,45.53728040418993,Le Plateau-Mont-Royal,175,153,328
Grand Boulevard / Sherbrooke,-73.62334638833998,45.46659823105616,Côte-des-Neiges - Notre-Dame-de-Grâce,336,307,643
Grey / Sherbrooke,-73.60647261142731,45.47651075689498,Côte-des-Neiges - Notre-Dame-de-Grâce,831,839,1670
Guy / Barré,-73.56628775596619,45.4897009285845,Inconnu,0,1,1
HEC (Decelles / Jean-Brillant),-73.61925333738327,45.49772282989976,Côte-des-Neiges - Notre-Dame-de-Grâce,916,545,1461
Hamel / Sauriol,-73.65338176488876,45.56157008176612,Ahuntsic-Cartierville,23,28,51
Henri-Julien / Laurier,-73.59033644199371,45.52574657625029,Le Plateau-Mont-Royal,2,1,3
Henri-Julien / du Carmel,-73.59502326697111,45.52795093787009,Le Plateau-Mont-Royal,24,19,43
Hochelaga / Dézéry,-73.55388522148132,45.54267119010467,Mercier - Hochelaga-Maisonneuve,390,586,976
Hochelaga / de l'Assomption,-73.53943817317486,45.56688309109519,Inconnu,0,2,2
Hutchison / Prince-Arthur,-73.57610732316971,45.50975858607626,Le Plateau-Mont-Royal,103,117,220
Hutchison / Van Horne,-73.61066222190857,45.52497612960628,Le Plateau-Mont-Royal,29,31,60
Hélène-Baillargeon / St-Denis,-73.59527,45.52974,Le Plateau-Mont-Royal,104,63,167
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),-73.62983867526054,45.49624140543275,Côte-des-Neiges - Notre-Dame-de-Grâce,383,284,667
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),-73.561562,45.575707,Rosemont - La Petite-Patrie,417,468,885
Hôpital Santa Cabrini (de Pontoise / d'Évreux),-73.57260999085156,45.58135403391153,Rosemont - La Petite-Patrie,7,9,16
IUSMM (Georges-Villeneuve),-73.52969169616699,45.58661042838809,Mercier - Hochelaga-Maisonneuve,99,127,226
Jacques-Casault / Christophe-Colomb,-73.6303174495697,45.551961779348346,Ahuntsic-Cartierville,437,516,953
Jean-Talon / de l'Épée,-73.62388551235199,45.52794135176983,Villeray—Saint-Michel—Parc-Extension,27,27,54
Jean-d’Estrées / Notre-Dame,-73.56391131877899,45.49439027388589,Ville-Marie,6,9,15
Jeanne-Mance / Beaubien,-73.61229971051216,45.527650097960205,Rosemont - La Petite-Patrie,33,35,68
Jeanne-Mance / Laurier,-73.59497621666378,45.52027633320609,Le Plateau-Mont-Royal,502,419,921
Jeanne-Mance / René-Lévesque,-73.5642009973526,45.5063713381299,Ville-Marie,1617,1779,3396
Jeanne-Mance / Sherbrooke,-73.57122302055359,45.50934693918775,Le Plateau-Mont-Royal,3785,3476,7261
Jeanne-Mance / St-Viateur,-73.60184043645859,45.523026476635074,Le Plateau-Mont-Royal,86,59,145
Joseph-Manseau / René-Levesque,-73.57682347297668,45.49168652100804,Ville-Marie,1,1,2
Kent / Hudson,-73.62931698560715,45.5058412398175,Côte-des-Neiges - Notre-Dame-de-Grâce,319,424,743
La Fontaine / Alexandre-de-Sève,-73.55799973011017,45.52330366033427,Ville-Marie,28,27,55
La Tour de Montréal (Pierre-de-Coubertin / Bennett),-73.55155438184738,45.55970526805903,Mercier - Hochelaga-Maisonneuve,8,9,17
LaSalle / Godin,-73.57219934463501,45.44693448484644,Verdun,467,497,964
Labadie / du Parc,-73.59682738780975,45.5198946757576,Le Plateau-Mont-Royal,1,3,4
Lafontaine / Panet,-73.55914508279966,45.52209288121081,Ville-Marie,15,14,29
Lajeunesse / Villeray,-73.62268656492233,45.54218173507584,Villeray—Saint-Michel—Parc-Extension,1924,1988,3912
Lanaudière / Bélanger,-73.60565051436424,45.54365085053057,Rosemont - La Petite-Patrie,8,10,18
Lanaudière / Jean-Talon,-73.61032962799072,45.545350334193245,Villeray—Saint-Michel—Parc-Extension,742,679,1421
Lanouette / de l'Église,-73.57683420181274,45.46337393327436,Verdun,513,597,1110
Laurier / St-Denis,-73.58943924307823,45.5271540234837,Le Plateau-Mont-Royal,7807,6002,13809
Laurier / de Bordeaux,-73.57918381690979,45.53725128371284,Le Plateau-Mont-Royal,250,244,494
Laurier / de Brébeuf,-73.5847695171833,45.53244901681983,Le Plateau-Mont-Royal,5251,5083,10334
Laval / Duluth,-73.57715926134915,45.519192617838605,Le Plateau-Mont-Royal,166,169,335
Laval / Rachel,-73.5795271396637,45.52022449558384,Le Plateau-Mont-Royal,75,85,160
Laval / du Mont-Royal,-73.58414590358734,45.5223645775784,Le Plateau-Mont-Royal,242,173,415
Le Royer / St-Laurent,-73.55429930616083,45.50597445022123,Ville-Marie,2,2,4
Lincoln / du Fort,-73.58382672071457,45.49306511863136,Ville-Marie,1,0,1
Logan / de Champlain,-73.55584256350994,45.5231943285584,Ville-Marie,33,37,70
Louis-Hébert / St-Zotique,-73.59576,45.55001,Rosemont - La Petite-Patrie,19,21,40
Louis-Hémon / Beaubien,-73.59320975840092,45.54686125709207,Rosemont - La Petite-Patrie,13,15,28
