station,lon,lat,nb_depart,nb_arrivee,nb_total,arrondissement
Casgrain / Maguire,-73.5957657695144,45.52621764749851,11050,10348,21398,Le Plateau-Mont-Royal
Casgrain / St-Viateur,-73.59883285129399,45.52749588747077,820,863,1683,Le Plateau-Mont-Royal
Casino de Montréal,-73.52457672,45.5063732,6019,6281,12300,Ville-Marie
Cathcart / McGill College,-73.57045487814501,45.501187681489775,14544,14878,29422,Ville-Marie
Centre des loisirs (Tassé / Grenet),-73.69144901633263,45.51473429416659,1002,945,1947,Saint-Laurent
Centre récréatif Édouard-Rivet (Notre-Dame / Lesage),-73.49952153861523,45.62846158049899,212,236,448,Montréal-Est
Centre ÉPIC (St-Zotique / 40e avenue),-73.57462137937546,45.57414703721992,5599,5585,11184,Rosemont - La Petite-Patrie
Chabanel / Esplanade,-73.65271349801333,45.54132316817171,4158,5202,9360,Ahuntsic-Cartierville
Chabanel / du Parc,-73.6548838019371,45.53830765459552,4975,6398,11373,Ahuntsic-Cartierville
Chabot / Beaubien,-73.59578132629395,45.54442573762501,7727,7808,15535,Rosemont - La Petite-Patrie
Chabot / Mont-Royal,-73.57352435588837,45.53413436610844,1831,1821,3652,Le Plateau-Mont-Royal
Chabot / Villeray,-73.61300647258759,45.552289376429215,6061,6168,12229,Villeray—Saint-Michel—Parc-Extension
Chabot / du Mont-Royal,-73.57352435588837,45.53413436610844,21671,20977,42648,Le Plateau-Mont-Royal
Chambord / Beaubien,-73.59936207532883,45.539900246044354,11381,10464,21845,Rosemont - La Petite-Patrie
Chambord / Fleury,-73.65832507610321,45.55982811984724,1818,1905,3723,Ahuntsic-Cartierville
Chambord / Gilford,-73.58106877662067,45.53149589691095,8713,8474,17187,Le Plateau-Mont-Royal
Champdoré / de Lorimier,-73.64101678133011,45.566869345371856,2006,2059,4065,Villeray—Saint-Michel—Parc-Extension
Champlain / Ste-Catherine,-73.55293308672117,45.52171703048863,49,60,109,Ville-Marie
Chapleau / du Mont-Royal,-73.56936,45.53867,8484,8091,16575,Le Plateau-Mont-Royal
Charles-Biddle / Atwater,-73.57514977455139,45.47913738100108,17547,20106,37653,Le Sud-Ouest
Chomedey / de Maisonneuve,-73.58394473791122,45.491750449903954,23002,19707,42709,Ville-Marie
Christophe-Colomb / Beaubien,-73.60115647315979,45.53783932655299,603,603,1206,Rosemont - La Petite-Patrie
Christophe-Colomb / Gilford,-73.58263850212097,45.52951597528168,2843,2508,5351,Le Plateau-Mont-Royal
Christophe-Colomb / St-Joseph,-73.58439266681671,45.53036486555959,9680,8465,18145,Le Plateau-Mont-Royal
Christophe-Colomb/Gilford,-73.58263850212097,45.52951597528168,502,460,962,Le Plateau-Mont-Royal
Churchill / Empire,-73.48672430497572,45.49211844605989,561,708,1269,Longueuil
City Councillors / du President-Kennedy,-73.57139065861702,45.50625103256782,6883,7398,14281,Ville-Marie
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),-73.61544728279114,45.55984236120471,5532,5412,10944,Villeray—Saint-Michel—Parc-Extension
Clanranald / de la Côte-St-Luc,-73.62692713737488,45.47900836315578,1958,1874,3832,Côte-des-Neiges - Notre-Dame-de-Grâce
